account_id,created_date,tier,region,is_flagged,flag_reason,total_api_calls,total_spend_usd,account_status,cluster_id
ACC-00001,2023-11-19 00:00:00,pro,EU,True,api_abuse,19585,2154.12,active,cluster_a
ACC-00002,2024-02-03 00:00:00,pro,US,True,api_abuse,16452,1065.19,active,cluster_a
ACC-00003,2023-09-29 00:00:00,pro,US,True,api_abuse,16410,1906.51,active,cluster_a
ACC-00004,2022-09-26 00:00:00,pro,US,True,api_abuse,19585,1109.1,active,cluster_a
ACC-00005,2022-12-19 00:00:00,pro,US,True,api_abuse,28119,839.21,suspended,cluster_a
ACC-00006,2023-11-24 00:00:00,pro,US,True,api_abuse,26401,1422.82,suspended,cluster_a
ACC-00007,2024-01-29 00:00:00,pro,EU,True,api_abuse,26669,2471.49,active,cluster_a
ACC-00008,2024-05-01 00:00:00,pro,EU,True,api_abuse,38722,910.59,active,cluster_a
ACC-00009,2022-08-01 00:00:00,pro,US,False,,10770,515.97,active,cluster_b
ACC-00010,2022-01-31 00:00:00,pro,APAC,False,,13942,622.04,active,cluster_b
ACC-00011,2023-10-29 00:00:00,pro,APAC,False,,10186,891.06,active,cluster_b
ACC-00012,2022-06-13 00:00:00,pro,APAC,False,,14560,1020.07,active,cluster_b
ACC-00013,2022-12-15 00:00:00,pro,US,False,,13397,1342.28,active,cluster_b
ACC-00014,2022-03-20 00:00:00,pro,APAC,False,,19062,1097.9,active,cluster_b
ACC-00015,2024-01-15 00:00:00,enterprise,US,True,platform_fraud,58446,10208.34,active,cluster_c
ACC-00016,2022-09-05 00:00:00,enterprise,US,True,platform_fraud,34270,13287.38,active,cluster_c
ACC-00017,2022-01-14 00:00:00,enterprise,US,True,platform_fraud,26610,7962.74,active,cluster_c
ACC-00018,2023-12-21 00:00:00,enterprise,US,True,platform_fraud,20220,6987.16,active,cluster_c
ACC-00019,2024-03-27 00:00:00,enterprise,US,True,platform_fraud,44238,12901.76,active,cluster_c
ACC-00020,2023-08-13 00:00:00,trial,APAC,False,,20,0.0,active,
ACC-00021,2024-05-07 00:00:00,pro,EU,False,,4119,0.59,active,
ACC-00022,2023-09-19 00:00:00,enterprise,APAC,False,,7395,0.91,active,
ACC-00023,2023-05-12 00:00:00,free,EU,False,,1130,0.17,active,
ACC-00024,2024-04-11 00:00:00,pro,US,False,,3880,0.51,active,
ACC-00025,2022-04-04 00:00:00,pro,EU,False,,4895,0.67,active,
ACC-00026,2022-04-18 00:00:00,free,US,False,,1073,0.15,active,
ACC-00027,2022-11-07 00:00:00,free,LATAM,False,,521,0.06,active,
ACC-00028,2022-08-26 00:00:00,free,US,False,,331,0.05,active,
ACC-00029,2022-02-27 00:00:00,free,US,False,,408,0.06,active,
ACC-00030,2024-05-30 00:00:00,free,US,False,,622,0.08,active,
ACC-00031,2023-07-14 00:00:00,free,LATAM,False,,16,0.0,active,
ACC-00032,2022-03-13 00:00:00,pro,EU,False,,4024,0.63,active,
ACC-00033,2022-12-18 00:00:00,free,US,False,,317,0.06,active,
ACC-00034,2024-01-28 00:00:00,enterprise,APAC,False,,17742,2.87,active,
ACC-00035,2022-03-26 00:00:00,free,US,False,,829,0.12,active,
ACC-00036,2023-10-11 00:00:00,trial,US,False,,363,0.06,active,
ACC-00037,2024-05-16 00:00:00,free,EU,False,,129,0.02,active,
ACC-00038,2024-02-18 00:00:00,pro,US,False,,16822,2.58,active,
ACC-00039,2022-12-23 00:00:00,free,US,False,,937,0.16,active,
ACC-00040,2023-05-28 00:00:00,enterprise,APAC,False,,38467,6.16,active,
ACC-00041,2023-03-05 00:00:00,free,LATAM,False,,166,0.02,active,
ACC-00042,2022-06-07 00:00:00,free,LATAM,False,,9,0.0,active,
