event_id,account_id,timestamp,model_used,token_count_input,token_count_output,content_category,cost_usd,endpoint,response_time_ms
db12a4f6-ff8d-4eab-a998-27ba376e38d0,ACC-00201,2024-01-01 00:00:00,claude-sonnet-4-6,735,1043,legitimate,0.01785,messages,4605
0a9ac5e5-01af-4ece-b0e6-8182b02d1958,ACC-01906,2024-01-01 00:02:00,claude-haiku-4-5,765,591,legitimate,0.01116,messages,8657
2c81061a-ce75-4e93-97f9-98069e1ce691,ACC-01905,2024-01-01 00:03:00,claude-opus-4-6,365,74,legitimate,0.002205,messages,5661
6a443e14-5298-41c4-ad20-a9a88e59cea9,ACC-00057,2024-01-01 00:04:00,claude-sonnet-4-6,1831,684,legitimate,0.015753,completions,1410
e9a0cea6-37cc-4f0a-9331-80d6ebaddde5,ACC-00109,2024-01-01 00:05:00,claude-sonnet-4-6,1025,556,legitimate,0.011415,messages,678
d347ca0a-b534-4f40-a0bf-317334d510c6,ACC-01882,2024-01-01 00:06:00,claude-opus-4-6,1426,997,legitimate,0.019233,messages,1449
1d34f126-9c25-4154-a257-aa3579de74ce,ACC-01171,2024-01-01 00:09:00,claude-opus-4-6,377,1339,legitimate,0.021216,messages,2960
db70e6e4-b6e0-473d-9898-49941cd06b3e,ACC-01090,2024-01-01 00:09:00,claude-sonnet-4-6,147,596,legitimate,0.009381,messages,748
bd72776b-ab73-4f09-ab34-6a84837575e9,ACC-01154,2024-01-01 00:09:00,claude-opus-4-6,2413,1056,policy_violation,0.023079,messages,2694
2d3505a4-198e-4c37-b457-c19f1ce560e5,ACC-00504,2024-01-01 00:10:00,claude-opus-4-6,574,223,legitimate,0.005067,messages,2688
2cc66ee1-c547-44bb-8ff2-2c1b1b3969df,ACC-01790,2024-01-01 00:13:00,claude-sonnet-4-6,1545,48,legitimate,0.005355,messages,2614
f1922b3f-4e3d-48e9-bc45-b0acf92e4f5d,ACC-00462,2024-01-01 00:15:00,claude-sonnet-4-6,1403,1155,legitimate,0.021534,messages,1219
51cef8d8-3dcf-46a5-9225-7e8691d01ecf,ACC-00515,2024-01-01 00:16:00,claude-sonnet-4-6,2063,60,borderline,0.007089,messages,1558
b0dbc64d-c661-440a-9913-851b8abf56f1,ACC-00302,2024-01-01 00:17:00,claude-haiku-4-5,245,125,legitimate,0.00261,messages,1589
3f2e9c44-96dc-4d5f-8e8c-2a1a772fe11c,ACC-00010,2024-01-01 00:18:00,claude-haiku-4-5,1508,523,policy_violation,0.012369,completions,914
98e67ac7-ddec-43c9-acc6-81733ab2430d,ACC-01195,2024-01-01 00:18:00,claude-sonnet-4-6,675,149,legitimate,0.00426,messages,2337
67997a2e-64cf-4501-8280-86309ad5f9f1,ACC-01675,2024-01-01 00:19:00,claude-sonnet-4-6,2951,1359,legitimate,0.029238,messages,4979
1931bd69-a81e-4f4a-b2c0-0bcfde368c5a,ACC-01977,2024-01-01 00:19:00,claude-sonnet-4-6,972,1767,legitimate,0.029421,messages,6105
c1a1080a-53f9-41ec-b579-86e2055c3981,ACC-00065,2024-01-01 00:20:00,claude-opus-4-6,932,162,legitimate,0.005226,messages,984
fa8c95a6-be72-47eb-8911-a4baade97025,ACC-01675,2024-01-01 00:21:00,claude-opus-4-6,1364,568,legitimate,0.012612,messages,1666
610f0208-328c-4a6d-87cc-0afd5b62b758,ACC-00321,2024-01-01 00:21:00,claude-haiku-4-5,1040,503,legitimate,0.010665,messages,594
923bac12-0ff1-45b3-9f27-a70f71cb5320,ACC-01709,2024-01-01 00:23:00,claude-haiku-4-5,50,141,legitimate,0.002265,completions,4124
71feaa95-22cc-43f6-b0b4-2aaeb3a1a225,ACC-01269,2024-01-01 00:25:00,claude-opus-4-6,339,132,legitimate,0.002997,messages,1141
1bf5eae4-fda8-43bb-8148-86e5543a21c4,ACC-00013,2024-01-01 00:26:00,claude-haiku-4-5,1439,308,borderline,0.008937,messages,360
1968b62d-83ed-4322-b7f8-34a1e0cddaf7,ACC-00840,2024-01-01 00:29:00,claude-sonnet-4-6,226,97,borderline,0.002133,messages,100
c0648580-1eda-411c-8939-16176ad8e280,ACC-01198,2024-01-01 00:30:00,claude-sonnet-4-6,241,42,legitimate,0.001353,completions,3961
e3d151aa-27bb-4178-bef2-204bfff65935,ACC-01714,2024-01-01 00:30:00,claude-sonnet-4-6,555,434,legitimate,0.008175,completions,1639
fe9da6e4-a9d5-4361-953d-ea2b84db1322,ACC-01077,2024-01-01 00:31:00,claude-haiku-4-5,956,681,legitimate,0.013083,messages,114
9edd1f07-af22-4ba6-b864-0d49c37cc10c,ACC-01764,2024-01-01 00:34:00,claude-opus-4-6,2008,175,legitimate,0.008649,messages,4410
c5b488a0-233e-456d-88e4-e03379d8e510,ACC-01115,2024-01-01 00:38:00,claude-sonnet-4-6,743,784,legitimate,0.013989,embeddings,1732
