period,attack_vector,region,direct_loss_usd,indirect_cost_usd,regulatory_penalty_usd,legal_liability_usd,remediation_cost_usd,compute_overhead_usd,total_impact_usd
2024-01,api_abuse,US,356067.7,79673.9,0.0,31309.48,29652.46,14142.42,510845.96
2024-01,api_abuse,EU,117678.3,29902.39,0.0,10939.29,15739.13,6409.88,180668.99
2024-01,safety_bypass,US,251278.95,28782.54,0.0,19819.21,35619.04,21458.6,356958.34
2024-01,safety_bypass,EU,308433.25,109097.39,0.0,18283.34,59620.36,30783.0,526217.34
2024-01,platform_fraud,US,330951.26,88730.53,0.0,57003.52,36883.96,32854.37,546423.64
2024-01,platform_fraud,EU,828462.62,278413.97,0.0,113138.15,119388.46,42031.66,1381434.86
2024-01,downstream_harm,US,325705.54,65197.82,0.0,20994.28,40619.5,16507.57,469024.71
2024-01,downstream_harm,EU,209771.65,26852.89,0.0,40241.04,39949.32,17592.92,334407.82
2024-01,data_poisoning,US,178036.0,52166.39,0.0,30339.92,40161.53,13319.82,314023.66
2024-01,data_poisoning,EU,112214.89,13368.52,0.0,9621.31,15112.4,11043.7,161360.82
2024-01,total,ALL,3018600.16,772186.34,0.0,351689.54,432746.16,206143.94,4781366.14
2024-01,api_abuse,US,328084.67,38302.73,0.0,27839.04,51810.03,10422.27,456458.74
2024-01,api_abuse,EU,670566.78,230648.1,0.0,42981.99,59482.63,39289.1,1042968.6
2024-01,safety_bypass,US,994957.07,109931.08,0.0,173094.72,84693.62,32510.94,1395187.43
2024-01,safety_bypass,EU,106676.41,32188.34,0.0,11210.11,15352.67,7713.59,173141.12
2024-01,platform_fraud,US,672419.9,260511.17,0.0,133023.15,88472.1,35363.92,1189790.24
2024-01,platform_fraud,EU,927417.2,261972.17,0.0,77049.08,89881.04,40741.48,1397060.97
2024-01,downstream_harm,US,122779.22,16412.15,0.0,11909.88,11184.02,9958.95,172244.22
2024-01,downstream_harm,EU,76527.89,8443.97,0.0,10672.36,14767.62,5239.52,115651.36
2024-01,data_poisoning,US,40712.88,11387.51,0.0,2258.83,10027.62,3129.5,67516.34
2024-01,data_poisoning,EU,123832.11,21157.87,0.0,11872.96,11408.07,10654.66,178925.67
2024-01,total,ALL,7082574.29,1763141.43,0.0,853601.66,869825.58,401167.87,10970310.83
2024-03,api_abuse,US,1222806.35,439420.54,0.0,177013.86,205757.35,73961.4,2118959.5
2024-03,api_abuse,EU,659170.28,155708.04,0.0,40083.98,139442.05,64448.26,1058852.61
2024-03,safety_bypass,US,1840973.95,415604.9,0.0,253082.11,293088.41,70683.86,2873433.23
2024-03,safety_bypass,EU,597160.97,159337.1,0.0,117699.19,137384.63,18763.97,1030345.86
2024-03,platform_fraud,US,1387604.76,531037.93,0.0,205898.43,279717.36,104873.99,2509132.47
2024-03,platform_fraud,EU,206706.78,70203.84,0.0,40193.82,34485.75,15733.86,367324.05
2024-03,downstream_harm,US,372227.83,50456.59,0.0,45313.23,48732.39,27232.81,543962.85
2024-03,downstream_harm,EU,16812.8,4403.41,0.0,1793.23,3870.68,1675.88,28556.0
2024-03,data_poisoning,US,55502.33,18718.43,0.0,10386.78,6371.9,5081.28,96060.72
2024-03,data_poisoning,EU,66314.03,26501.48,0.0,5655.28,7083.03,3674.45,109228.27
2024-03,total,ALL,6425280.08,1871392.26,0.0,897119.91,1155933.55,386129.76,10735855.56
2024-03,api_abuse,US,277298.18,93028.58,0.0,19544.05,49975.64,12603.68,452450.13
2024-03,api_abuse,EU,42735.23,6144.58,0.0,6850.39,10306.31,2821.59,68858.1
2024-03,safety_bypass,US,863155.24,237452.43,0.0,61452.96,175272.66,33488.86,1370822.15
2024-03,safety_bypass,EU,676387.9,128170.32,0.0,131271.01,94317.69,46622.21,1076769.13
2024-03,platform_fraud,US,657542.76,74050.54,0.0,88535.8,78015.78,25713.26,923858.14
2024-03,platform_fraud,EU,179958.36,64516.46,0.0,16568.48,44948.26,7734.07,313725.63
2024-03,downstream_harm,US,260326.98,96693.17,0.0,15229.34,49568.55,12163.3,433981.34
2024-03,downstream_harm,EU,163800.21,46327.41,0.0,31256.41,27654.9,11165.17,280204.1
2024-03,data_poisoning,US,11359.48,1217.59,0.0,1608.91,1160.08,681.04,16027.1
2024-03,data_poisoning,EU,16879.84,3404.88,0.0,1324.83,2565.28,1085.66,25260.49
2024-03,total,ALL,9574724.26,2622398.22,0.0,1270762.09,1689718.7,540208.6,15697811.87
2024-04,api_abuse,US,173876.1,29518.31,0.0,32152.48,17440.24,17372.12,270359.25
2024-04,api_abuse,EU,264770.41,49353.83,0.0,42710.22,44162.59,21906.12,422903.17
2024-04,safety_bypass,US,2773211.82,1066007.72,0.0,204333.74,303074.04,165706.99,4512334.31
2024-04,safety_bypass,EU,879643.2,239550.39,0.0,106777.07,213050.77,65739.75,1504761.18
2024-04,platform_fraud,US,1010707.03,294532.87,0.0,103761.36,221221.35,80594.37,1710816.98
2024-04,platform_fraud,EU,682404.13,257395.75,0.0,98641.39,95637.49,36897.72,1170976.48
2024-04,downstream_harm,US,101578.34,38079.83,0.0,6374.46,15688.24,8160.58,169881.45
2024-04,downstream_harm,EU,176657.33,36161.66,0.0,17598.63,43376.31,11194.06,284987.99
2024-04,data_poisoning,US,114588.47,43079.92,0.0,6854.24,21857.24,6513.94,192893.81
2024-04,data_poisoning,EU,95052.2,32606.81,0.0,15245.22,13961.56,8250.12,165115.91
2024-04,total,ALL,6272489.03,2086287.09,0.0,634448.81,989469.83,422335.77,10405030.53
2024-05,api_abuse,US,278414.16,107779.62,113858.98,37580.45,40400.35,20862.69,598896.25
2024-05,api_abuse,EU,300337.83,38762.43,185458.25,19386.41,69941.6,12237.83,626124.35
2024-05,safety_bypass,US,1555564.54,554630.12,0.0,128610.62,333207.15,67716.81,2639729.24
2024-05,safety_bypass,EU,1588705.6,337390.26,0.0,168528.48,382747.79,112895.0,2590267.13
2024-05,platform_fraud,US,1275723.8,405606.0,0.0,110246.75,279638.66,48652.58,2119867.79
2024-05,platform_fraud,EU,904934.23,347340.37,0.0,129257.6,179584.62,46299.74,1607416.56
2024-05,downstream_harm,US,34489.08,11973.93,0.0,4521.3,4627.5,2294.27,57906.08
2024-05,downstream_harm,EU,135062.19,44347.76,0.0,10844.92,10988.95,8781.27,210025.09
2024-05,data_poisoning,US,153747.95,25786.82,0.0,17082.35,27497.69,6074.13,230188.94
2024-05,data_poisoning,EU,93069.02,11857.42,0.0,5914.56,16225.42,5861.47,132927.89
2024-05,total,ALL,6320048.4,1885474.73,299317.23,631973.44,1344859.73,331675.79,10813349.32
2024-06,api_abuse,US,154086.58,43906.65,201609.5,13539.96,31019.64,6176.32,450338.65
2024-06,api_abuse,EU,230267.3,52958.69,279541.16,11517.34,51812.03,11999.58,638096.1
2024-06,safety_bypass,US,2999197.15,616083.7,0.0,155334.72,589400.5,167080.06,4527096.13
2024-06,safety_bypass,EU,1748574.05,458201.77,0.0,145501.84,296813.46,62342.97,2711434.09
2024-06,platform_fraud,US,1239458.3,390707.88,0.0,174548.82,112030.69,44797.19,1961542.88
2024-06,platform_fraud,EU,387658.13,82590.26,0.0,34068.43,70621.24,37197.44,612135.5
2024-06,downstream_harm,US,390660.95,78523.89,0.0,65837.15,44810.85,21730.17,601563.01
2024-06,downstream_harm,EU,238769.6,51167.53,0.0,42755.31,50131.4,16151.43,398975.27
2024-06,data_poisoning,US,108967.51,33432.16,0.0,14255.17,20082.39,9222.17,185959.4
