incident_id,account_id,detected_date,attack_vector,severity,financial_impact_usd,detection_method,resolved,cluster_id
INC-00001,ACC-00001,2024-01-14 00:00:00,api_abuse,low,1875.16,automated_threshold,True,cluster_a
INC-00002,ACC-00001,2024-01-24 00:00:00,api_abuse,medium,12542.08,automated_threshold,True,cluster_a
INC-00003,ACC-00001,2024-01-31 00:00:00,api_abuse,medium,3376.91,automated_ml,True,cluster_a
INC-00004,ACC-00001,2024-03-13 00:00:00,api_abuse,critical,115702.94,automated_threshold,False,cluster_a
INC-00005,ACC-00001,2024-03-14 00:00:00,api_abuse,medium,13373.54,automated_ml,True,cluster_a
INC-00006,ACC-00001,2024-08-28 00:00:00,api_abuse,high,52173.02,automated_threshold,True,cluster_a
INC-00007,ACC-00001,2024-11-09 00:00:00,api_abuse,low,1188.06,automated_ml,False,cluster_a
INC-00008,ACC-00001,2024-12-08 00:00:00,api_abuse,high,77749.34,automated_ml,False,cluster_a
INC-00009,ACC-00002,2024-01-15 00:00:00,api_abuse,medium,9596.46,automated_ml,True,cluster_a
INC-00010,ACC-00002,2024-02-12 00:00:00,api_abuse,medium,4673.62,automated_ml,True,cluster_a
INC-00011,ACC-00002,2024-03-13 00:00:00,api_abuse,medium,6563.88,automated_threshold,True,cluster_a
INC-00012,ACC-00002,2024-04-07 00:00:00,api_abuse,high,26349.46,human_review,False,cluster_a
INC-00013,ACC-00002,2024-04-12 00:00:00,api_abuse,low,1860.34,automated_threshold,True,cluster_a
INC-00014,ACC-00002,2025-01-13 00:00:00,api_abuse,high,28755.6,human_review,False,cluster_a
INC-00015,ACC-00002,2025-04-25 00:00:00,api_abuse,medium,3516.55,automated_threshold,True,cluster_a
INC-00016,ACC-00002,2025-05-06 00:00:00,api_abuse,low,1820.12,automated_threshold,True,cluster_a
INC-00017,ACC-00002,2025-06-09 00:00:00,api_abuse,low,1258.15,automated_threshold,False,cluster_a
INC-00018,ACC-00003,2024-01-12 00:00:00,api_abuse,high,79217.91,automated_threshold,True,cluster_a
INC-00019,ACC-00003,2024-01-12 00:00:00,api_abuse,medium,10655.33,automated_threshold,True,cluster_a
INC-00020,ACC-00003,2024-02-22 00:00:00,api_abuse,low,1302.75,automated_threshold,True,cluster_a
INC-00021,ACC-00003,2024-03-22 00:00:00,api_abuse,low,1812.5,automated_ml,False,cluster_a
INC-00022,ACC-00003,2024-03-17 00:00:00,api_abuse,medium,9494.2,human_review,True,cluster_a
INC-00023,ACC-00003,2024-04-03 00:00:00,api_abuse,low,720.74,automated_threshold,False,cluster_a
INC-00024,ACC-00003,2024-06-07 00:00:00,api_abuse,high,71244.16,automated_threshold,False,cluster_a
INC-00025,ACC-00003,2025-03-30 00:00:00,api_abuse,low,381.94,automated_ml,True,cluster_a
INC-00026,ACC-00003,2025-04-14 00:00:00,api_abuse,critical,405065.15,automated_threshold,True,cluster_a
INC-00027,ACC-00003,2025-05-17 00:00:00,api_abuse,low,1354.57,automated_ml,True,cluster_a
INC-00028,ACC-00004,2024-02-02 00:00:00,api_abuse,low,579.87,human_review,True,cluster_a
INC-00029,ACC-00004,2024-02-02 00:00:00,api_abuse,medium,7906.05,automated_threshold,True,cluster_a
INC-00030,ACC-00004,2024-03-16 00:00:00,api_abuse,medium,5316.56,automated_ml,True,cluster_a
INC-00031,ACC-00004,2024-03-05 00:00:00,api_abuse,medium,12937.89,automated_ml,True,cluster_a
INC-00032,ACC-00004,2024-03-17 00:00:00,api_abuse,medium,6732.47,automated_threshold,True,cluster_a
INC-00033,ACC-00004,2024-04-19 00:00:00,api_abuse,low,101.5,automated_threshold,True,cluster_a
INC-00034,ACC-00004,2024-04-13 00:00:00,api_abuse,low,186.76,automated_threshold,True,cluster_a
INC-00035,ACC-00004,2024-04-15 00:00:00,api_abuse,high,35064.62,automated_threshold,True,cluster_a
INC-00036,ACC-00004,2024-06-13 00:00:00,api_abuse,medium,3655.19,automated_threshold,True,cluster_a
INC-00037,ACC-00004,2024-09-29 00:00:00,api_abuse,high,27112.04,human_review,True,cluster_a
INC-00038,ACC-00005,2024-01-13 00:00:00,api_abuse,low,1517.13,automated_threshold,True,cluster_a
INC-00039,ACC-00005,2024-02-08 00:00:00,api_abuse,medium,11104.1,automated_ml,True,cluster_a
INC-00040,ACC-00005,2024-02-03 00:00:00,api_abuse,low,1101.51,automated_ml,True,cluster_a
INC-00041,ACC-00005,2024-02-16 00:00:00,api_abuse,low,1638.49,automated_ml,True,cluster_a
INC-00042,ACC-00005,2024-07-09 00:00:00,api_abuse,medium,4552.46,human_review,True,cluster_a
INC-00043,ACC-00005,2024-07-18 00:00:00,api_abuse,low,1518.71,automated_ml,True,cluster_a
INC-00044,ACC-00005,2024-07-29 00:00:00,api_abuse,medium,9685.83,automated_threshold,True,cluster_a
INC-00045,ACC-00005,2024-09-03 00:00:00,api_abuse,low,975.58,automated_threshold,False,cluster_a
INC-00046,ACC-00005,2025-01-08 00:00:00,api_abuse,high,24896.82,automated_ml,True,cluster_a
INC-00047,ACC-00005,2025-02-12 00:00:00,api_abuse,low,1617.73,automated_threshold,True,cluster_a
INC-00048,ACC-00005,2025-03-14 00:00:00,api_abuse,high,27513.93,automated_threshold,True,cluster_a
INC-00049,ACC-00005,2025-06-16 00:00:00,api_abuse,high,27859.98,automated_threshold,True,cluster_a
INC-00050,ACC-00006,2024-01-10 00:00:00,api_abuse,medium,8133.33,automated_ml,True,cluster_a
INC-00051,ACC-00006,2024-01-22 00:00:00,api_abuse,low,1547.5,automated_ml,False,cluster_a
INC-00052,ACC-00006,2024-02-23 00:00:00,api_abuse,low,1210.0,automated_threshold,True,cluster_a
INC-00053,ACC-00006,2024-02-20 00:00:00,api_abuse,high,42135.35,automated_ml,False,cluster_a
INC-00054,ACC-00006,2024-03-11 00:00:00,api_abuse,medium,4701.58,automated_threshold,True,cluster_a
INC-00055,ACC-00006,2024-07-18 00:00:00,api_abuse,medium,10838.52,automated_threshold,False,cluster_a
INC-00056,ACC-00006,2025-01-17 00:00:00,api_abuse,medium,10325.47,human_review,True,cluster_a
INC-00057,ACC-00006,2025-01-06 00:00:00,api_abuse,medium,2432.56,automated_threshold,False,cluster_a
INC-00058,ACC-00006,2025-03-17 00:00:00,api_abuse,low,1114.04,automated_threshold,True,cluster_a
INC-00059,ACC-00007,2024-02-15 00:00:00,api_abuse,medium,13502.04,human_review,True,cluster_a
INC-00060,ACC-00007,2024-03-04 00:00:00,api_abuse,medium,3380.9,automated_threshold,False,cluster_a
INC-00061,ACC-00007,2024-03-07 00:00:00,api_abuse,medium,14239.71,automated_threshold,True,cluster_a
INC-00062,ACC-00007,2024-09-01 00:00:00,api_abuse,medium,14167.19,automated_threshold,True,cluster_a
INC-00063,ACC-00007,2025-02-15 00:00:00,api_abuse,medium,12610.14,automated_threshold,True,cluster_a
INC-00064,ACC-00007,2025-05-02 00:00:00,api_abuse,medium,3957.99,automated_threshold,True,cluster_a
INC-00065,ACC-00007,2025-06-08 00:00:00,api_abuse,high,27217.64,automated_threshold,True,cluster_a
INC-00066,ACC-00008,2024-01-14 00:00:00,api_abuse,low,1860.47,human_review,False,cluster_a
INC-00067,ACC-00008,2024-01-20 00:00:00,api_abuse,high,36681.82,automated_ml,True,cluster_a
INC-00068,ACC-00008,2024-02-21 00:00:00,api_abuse,low,601.69,automated_threshold,True,cluster_a
INC-00069,ACC-00008,2024-03-17 00:00:00,api_abuse,high,28787.18,automated_ml,True,cluster_a
INC-00070,ACC-00008,2024-04-15 00:00:00,api_abuse,medium,7396.8,automated_threshold,True,cluster_a
